Consecutivo;;Cliente;Producto;PesoVenta;Sacos;Precio;Total
361;14/11/2015 10:26:30;592;9;15598;0;8330;129931340
362;14/11/2015 10:27:19;592;9;16890;0;8330;140693700
363;14/11/2015 13:31:54;592;9;348;0;8100;2818800
364;14/11/2015 13:33:45;592;9;15670;0;8330;130531100
365;17/11/2015 17:39:11;96;1;13330;0;5840;77847200
366;17/11/2015 17:39:32;96;1;13540;0;5840;79073600
367;17/11/2015 17:40:15;96;1;13820;0;5840;80708800
368;17/11/2015 17:40:49;96;1;9310;0;5840;54370400
369;18/11/2015 08:45:11;667;9;100;0;8500;850000
370;19/11/2015 07:01:03;592;9;16959;0;8330;141268470
371;19/11/2015 07:03:49;592;9;16002;0;8330;133296660
372;19/11/2015 18:20:23;96;1;1210;0;6016;7279360
373;19/11/2015 18:20:39;96;1;4860;0;6016;29237760
374;19/11/2015 18:21:23;96;1;13770;0;6016;82840320
375;19/11/2015 18:21:57;96;1;14210;0;6016;85487360
376;19/11/2015 18:22:33;96;1;13440;0;6016;80855040
377;19/11/2015 18:23:15;96;1;2510;0;6016;15100160
378;20/11/2015 15:58:05;592;1;11985;0;5928;71047080
379;20/11/2015 15:58:24;592;1;14085;0;5928;83495880
380;20/11/2015 15:59:00;592;1;11955;0;5928;70869240
381;20/11/2015 15:59:39;592;1;12045;0;5928;71402760
382;20/11/2015 16:08:56;592;9;16499;0;8330;137436670
383;20/11/2015 16:16:36;3718;8;1607;0;4500;7231500
384;20/11/2015 16:20:03;3718;7;1776;0;5300;9412800
385;23/11/2015 14:32:46;592;9;2382;0;8330;19842060
386;23/11/2015 14:36:23;592;9;13613;0;8600;117071800
387;23/11/2015 14:37:02;592;9;16771;0;8600;144230600
388;23/11/2015 18:01:10;96;1;13860;0;6080;84268800
389;23/11/2015 18:01:26;96;1;11200;0;6080;68096000
390;23/11/2015 18:01:42;96;1;8240;0;6080;50099200
391;23/11/2015 18:04:16;96;1;7620;0;6080;46329600
392;23/11/2015 18:04:29;96;1;13270;0;6080;80681600
393;24/11/2015 18:07:49;96;1;11645;0;6160;71733200
394;24/11/2015 18:08:12;96;1;12560;0;6160;77369600
395;24/11/2015 18:08:39;96;1;8890;0;6160;54762400
396;24/11/2015 18:08:55;96;1;13000;0;6160;80080000
397;24/11/2015 18:09:45;96;1;3905;0;6160;24054800
398;24/11/2015 18:10:22;96;1;8865;0;6120;54253800
399;24/11/2015 18:11:45;96;1;12570;0;6120;76928400
400;24/11/2015 18:12:17;96;1;10325;0;6120;63189000
401;24/11/2015 06:52:54;96;1;14050;0;6120;85986000
402;25/11/2015 10:55:17;77;9;15467;328;8550;132242850
403;26/11/2015 11:05:06;592;9;17346;0;8600;149175600
404;26/11/2015 15:10:26;592;9;15742;0;8600;135381200
405;27/11/2015 18:29:22;592;9;16670;0;8600;143362000
406;27/11/2015 18:29:59;592;9;16714;0;8600;143740400
407;28/11/2015 13:43:01;592;9;3144;0;8600;27038400
408;28/11/2015 13:44:29;592;9;13338;0;8670;115640460
409;30/11/2015 11:06:49;592;9;16081;0;8670;139422270
410;30/11/2015 11:07:47;592;9;16251;0;8670;140896170
411;01/12/2015 17:55:06;96;1;3625;0;6200;22475000
412;01/12/2015 17:55:42;96;1;12670;0;6200;78554000
